strain,fluorescence,stress
wild_type,2130.7922,No_stress
wild_type,2131.7068,No_stress
wild_type,2133.6438,No_stress
wild_type,2134.7124,No_stress
wild_type,2148.336,No_stress
wild_type,2150.363,No_stress
wild_type,2155.6462,No_stress
wild_type,2167.7327,No_stress
wild_type,2167.7852,No_stress
wild_type,2168.494,No_stress
wild_type,2171.0986,No_stress
wild_type,2172.1577,No_stress
wild_type,2174.033,No_stress
wild_type,2175.688,No_stress
wild_type,2179.859,No_stress
wild_type,2181.1375,No_stress
wild_type,2181.6924,No_stress
wild_type,2183.632,No_stress
wild_type,2187.1047,No_stress
wild_type,2187.1506,No_stress
wild_type,2188.2927,No_stress
wild_type,2189.275,No_stress
wild_type,2191.8147,No_stress
wild_type,2193.8484,No_stress
wild_type,2202.075,No_stress
wild_type,2202.128,No_stress
wild_type,2203.0286,No_stress
wild_type,2203.122,No_stress
wild_type,2206.6143,No_stress
wild_type,2207.847,No_stress
wild_type,2209.4363,No_stress
wild_type,2211.9727,No_stress
wild_type,2212.14,No_stress
wild_type,2215.0413,No_stress
wild_type,2215.8674,No_stress
wild_type,2218.8262,No_stress
wild_type,2219.1382,No_stress
wild_type,2222.9768,No_stress
wild_type,2232.2153,No_stress
wild_type,2233.327,No_stress
wild_type,2247.8333,No_stress
wild_type,2249.9575,No_stress
wild_type,2269.5544,No_stress
wild_type,2269.699,No_stress
wild_type,2276.0212,No_stress
wild_type,2277.0188,No_stress
wild_type,2283.3545,No_stress
wild_type,2292.7058,No_stress
wild_type,2294.5571,No_stress
wild_type,2296.5093,No_stress
wild_type,2302.6033,No_stress
wild_type,2304.0898,No_stress
wild_type,2310.972,No_stress
wild_type,2313.5527,No_stress
wild_type,2313.7927,No_stress
wild_type,2321.0938,No_stress
wild_type,2340.57,No_stress
wild_type,2340.6155,No_stress
wild_type,2341.1729,No_stress
wild_type,2343.3538,No_stress
wild_type,2349.3037,No_stress
wild_type,2350.4219,No_stress
wild_type,2353.6714,No_stress
wild_type,2359,No_stress
wild_type,2359.1667,No_stress
wild_type,2369,No_stress
wild_type,2370.7922,No_stress
wild_type,2372.9504,No_stress
wild_type,2383.569,No_stress
wild_type,2392.009,No_stress
wild_type,2397.2366,No_stress
wild_type,2397.5876,No_stress
wild_type,2402.0107,No_stress
wild_type,2407.013,No_stress
wild_type,2408.908,No_stress
wild_type,2416.8958,No_stress
wild_type,2417.8132,No_stress
wild_type,2420.7434,No_stress
wild_type,2428.1482,No_stress
wild_type,2433.1714,No_stress
wild_type,2435.616,No_stress
wild_type,2437.1323,No_stress
wild_type,2441.494,No_stress
wild_type,2448.035,No_stress
wild_type,2451.241,No_stress
wild_type,2452.4092,No_stress
wild_type,2458.302,No_stress
wild_type,2466.3,No_stress
wild_type,2471.438,No_stress
wild_type,2475.3823,No_stress
wild_type,2479.4187,No_stress
wild_type,2479.449,No_stress
wild_type,2481.0254,No_stress
wild_type,2486.7124,No_stress
wild_type,2490,No_stress
wild_type,2493.7124,No_stress
wild_type,2494.8042,No_stress
wild_type,2500.2744,No_stress
wild_type,2510.034,No_stress
wild_type,2515.4788,No_stress
wild_type,2516.9556,No_stress
wild_type,2519.4148,No_stress
wild_type,2526.862,No_stress
wild_type,2527.4033,No_stress
wild_type,2540.7976,No_stress
wild_type,2553.764,No_stress
wild_type,2560.557,No_stress
