strain,length,width,phase
MgrB_stop,38.651676,7.8256435,exp
MgrB_stop,32.20357,7.826225,exp
MgrB_stop,47.24878,7.829787,exp
MgrB_stop,36.377502,7.8308644,exp
MgrB_stop,28.43172,7.8370423,exp
MgrB_stop,34.703117,7.8393188,exp
MgrB_stop,35.74943,7.8485537,exp
MgrB_stop,26.765728,7.8485565,exp
MgrB_stop,28.916628,7.852222,exp
MgrB_stop,23.819593,7.8530536,exp
MgrB_stop,34.105762,7.8605866,exp
MgrB_stop,38.109497,7.864488,exp
MgrB_stop,30.196703,7.8727393,exp
MgrB_stop,32.160805,7.8741183,exp
MgrB_stop,30.941238,7.880029,exp
MgrB_stop,43.308586,7.8873444,exp
MgrB_stop,23.119354,7.892277,exp
MgrB_stop,25.887136,7.8944526,exp
MgrB_stop,26.265955,7.900776,exp
MgrB_stop,31.046602,7.9012485,exp
MgrB_stop,25.997583,7.9022965,exp
MgrB_stop,36.554207,7.9028487,exp
MgrB_stop,33.275543,7.9107995,exp
MgrB_stop,29.973537,7.9172773,exp
MgrB_stop,28.448452,7.918368,exp
MgrB_stop,29.585968,7.9212976,exp
MgrB_stop,35.113697,7.921658,exp
MgrB_stop,25.721556,7.9236236,exp
MgrB_stop,34.57875,7.926851,exp
MgrB_stop,28.62737,7.9275994,exp
MgrB_stop,30.137815,7.928938,exp
MgrB_stop,27.902328,7.930898,exp
MgrB_stop,27.851507,7.935856,exp
MgrB_stop,29.284105,7.937323,exp
MgrB_stop,19.66875,7.937679,exp
MgrB_stop,31.010412,7.937818,exp
MgrB_stop,33.265873,7.9389853,exp
MgrB_stop,31.657772,7.9429297,exp
MgrB_stop,31.27974,7.9432483,exp
MgrB_stop,35.179226,7.9435635,exp
MgrB_stop,34.69123,7.9440703,exp
MgrB_stop,39.164154,7.945256,exp
MgrB_stop,19.041456,7.9501495,exp
MgrB_stop,37.402805,7.9525557,exp
MgrB_stop,40.15628,7.9620876,exp
MgrB_stop,31.051168,7.9639416,exp
MgrB_stop,27.654642,7.9643536,exp
MgrB_stop,35.070766,7.96651,exp
MgrB_stop,28.347246,7.9694176,exp
MgrB_stop,43.45764,7.9705386,exp
