time,replicate,strain,OD,Empty_vector,stress
3,3,YadX,0.166,No,10mM_mg
3,4,YadX,0.167,No,10mM_mg
3,1,YriB,0.154,No,no_mg
3,2,YriB,0.156,No,no_mg
3,3,YriB,0.153,No,no_mg
3,4,YriB,0.147,No,no_mg
3,1,YriB,0.143,No,10mM_mg
3,2,YriB,0.143,No,10mM_mg
3,3,YriB,0.147,No,10mM_mg
3,4,YriB,0.146,No,10mM_mg
3,1,YmiA,0.12,No,no_mg
3,2,YmiA,0.121,No,no_mg
3,3,YmiA,0.123,No,no_mg
3,4,YmiA,0.123,No,no_mg
3,1,YmiA,0.133,No,10mM_mg
3,2,YmiA,0.127,No,10mM_mg
3,3,YmiA,0.13,No,10mM_mg
3,4,YmiA,0.131,No,10mM_mg
3,1,MgtT,0.17,No,no_mg
3,2,MgtT,0.17,No,no_mg
3,3,MgtT,0.169,No,no_mg
3,4,MgtT,0.17,No,no_mg
3,1,MgtT,0.167,No,10mM_mg
3,2,MgtT,0.164,No,10mM_mg
3,3,MgtT,0.167,No,10mM_mg
3,4,MgtT,0.16,No,10mM_mg
3,1,YmiC,0.171,No,no_mg
3,2,YmiC,0.174,No,no_mg
3,3,YmiC,0.176,No,no_mg
3,4,YmiC,0.184,No,no_mg
3,1,YmiC,0.168,No,10mM_mg
3,2,YmiC,0.186,No,10mM_mg
3,3,YmiC,0.167,No,10mM_mg
3,4,YmiC,0.169,No,10mM_mg
3,1,PmrR,0.166,Yes,no_mg
3,2,PmrR,0.177,Yes,no_mg
3,3,PmrR,0.183,Yes,no_mg
3,4,PmrR,0.186,Yes,no_mg
3,1,PmrR,0.179,Yes,10mM_mg
3,2,PmrR,0.176,Yes,10mM_mg
3,3,PmrR,0.172,Yes,10mM_mg
3,4,PmrR,0.174,Yes,10mM_mg
3,1,YdgU,0.166,Yes,no_mg
3,2,YdgU,0.177,Yes,no_mg
3,3,YdgU,0.183,Yes,no_mg
3,4,YdgU,0.186,Yes,no_mg
3,1,YdgU,0.179,Yes,10mM_mg
3,2,YdgU,0.176,Yes,10mM_mg
3,3,YdgU,0.172,Yes,10mM_mg
3,4,YdgU,0.174,Yes,10mM_mg
3,1,YoaI,0.166,Yes,no_mg
3,2,YoaI,0.177,Yes,no_mg
3,3,YoaI,0.183,Yes,no_mg
3,4,YoaI,0.186,Yes,no_mg
3,1,YoaI,0.179,Yes,10mM_mg
3,2,YoaI,0.176,Yes,10mM_mg
3,3,YoaI,0.172,Yes,10mM_mg
3,4,YoaI,0.174,Yes,10mM_mg
3,1,YadX,0.166,Yes,no_mg
3,2,YadX,0.177,Yes,no_mg
3,3,YadX,0.183,Yes,no_mg
3,4,YadX,0.186,Yes,no_mg
3,1,YadX,0.179,Yes,10mM_mg
3,2,YadX,0.176,Yes,10mM_mg
3,3,YadX,0.172,Yes,10mM_mg
3,4,YadX,0.174,Yes,10mM_mg
3,1,YriB,0.166,Yes,no_mg
3,2,YriB,0.177,Yes,no_mg
3,3,YriB,0.183,Yes,no_mg
3,4,YriB,0.186,Yes,no_mg
3,1,YriB,0.179,Yes,10mM_mg
3,2,YriB,0.176,Yes,10mM_mg
3,3,YriB,0.172,Yes,10mM_mg
3,4,YriB,0.174,Yes,10mM_mg
3,1,YmiA,0.166,Yes,no_mg
3,2,YmiA,0.177,Yes,no_mg
3,3,YmiA,0.183,Yes,no_mg
3,4,YmiA,0.186,Yes,no_mg
